Data,Status da inscrição,Visualizações intencionais
2025-10-11,Não inscrito,2109
2025-10-12,Não inscrito,1178
2025-10-13,Não inscrito,1860
2025-10-14,Não inscrito,1579
2025-10-15,Não inscrito,3636
2025-10-16,Não inscrito,804
2025-10-17,Não inscrito,2362
2025-10-18,Não inscrito,4899
2025-10-19,Não inscrito,2739
2025-10-20,Não inscrito,1540
2025-10-21,Não inscrito,887
2025-10-22,Não inscrito,480
2025-10-23,Não inscrito,141
2025-10-24,Não inscrito,20
2025-10-25,Não inscrito,20
2025-10-26,Não inscrito,30
2025-10-27,Não inscrito,12
2025-10-28,Não inscrito,11
2025-10-29,Não inscrito,6
2025-10-30,Não inscrito,6
2025-10-31,Não inscrito,1
2025-11-01,Não inscrito,1
2025-11-02,Não inscrito,1
2025-11-03,Não inscrito,3
2025-11-04,Não inscrito,2
2025-11-05,Não inscrito,1
2025-11-06,Não inscrito,1
2025-11-07,Não inscrito,3
2025-11-08,Não inscrito,1
2025-11-09,Não inscrito,1
2025-11-10,Não inscrito,0
2025-11-11,Não inscrito,0
2025-11-12,Não inscrito,0
2025-11-13,Não inscrito,0
